,Date,Over_rate
0,2016-01-01,0.7297297297297297
1,2016-01-02,0.8148148148148148
2,2016-01-03,0.6666666666666666
3,2016-01-04,0.76
4,2016-01-05,0.5454545454545454
5,2016-01-06,0.65625
6,2016-01-07,0.7941176470588235
7,2016-01-08,0.6153846153846154
8,2016-01-09,0.65625
9,2016-01-10,0.7647058823529411
10,2016-01-11,0.5
11,2016-01-12,0.7777777777777778
12,2016-01-13,0.717948717948718
13,2016-01-14,0.6382978723404256
14,2016-01-15,0.6382978723404256
15,2016-01-16,0.6666666666666666
16,2016-01-17,0.5641025641025641
17,2016-01-18,0.45454545454545453
18,2016-01-19,0.7333333333333333
19,2016-01-20,0.5945945945945946
20,2016-01-21,0.7380952380952381
21,2016-01-22,0.6666666666666666
22,2016-01-23,0.625
23,2016-01-24,0.5952380952380952
24,2016-01-25,0.5227272727272727
25,2016-01-26,0.5869565217391305
26,2016-01-27,0.6976744186046512
27,2016-01-28,0.6363636363636364
28,2016-01-29,0.5909090909090909
29,2016-01-30,0.5833333333333334
30,2016-01-31,0.6666666666666666
31,2016-02-01,0.5588235294117647
32,2016-02-02,0.5952380952380952
33,2016-02-03,0.7804878048780488
34,2016-02-04,0.631578947368421
35,2016-02-05,0.5531914893617021
36,2016-02-06,0.8166666666666667
37,2016-02-07,0.65625
38,2016-02-08,0.9310344827586207
39,2016-02-09,0.35135135135135137
40,2016-02-10,0.5666666666666667
41,2016-02-11,0.6944444444444444
42,2016-02-12,0.717948717948718
43,2016-02-13,0.7407407407407407
44,2016-02-14,0.7894736842105263
45,2016-02-15,0.6666666666666666
46,2016-02-16,0.7727272727272727
47,2016-02-17,0.6
48,2016-02-18,0.7692307692307693
49,2016-02-19,0.6666666666666666
50,2016-02-20,0.5555555555555556
51,2016-02-21,0.7446808510638298
52,2016-02-22,0.5777777777777777
53,2016-02-23,0.55
54,2016-02-24,0.6538461538461539
55,2016-02-25,0.6666666666666666
56,2016-02-26,0.6521739130434783
57,2016-02-27,0.7777777777777778
58,2016-02-28,0.7777777777777778
59,2016-02-29,0.62
60,2016-03-01,0.6461538461538462
61,2016-03-02,0.6388888888888888
62,2016-03-03,0.5769230769230769
63,2016-03-04,0.6538461538461539
64,2016-03-05,0.7796610169491526
65,2016-03-06,0.6808510638297872
66,2016-03-07,0.5357142857142857
67,2016-03-08,0.7692307692307693
68,2016-03-09,0.6
69,2016-03-10,0.48
70,2016-03-11,0.7209302325581395
71,2016-03-12,0.54
72,2016-03-13,0.6122448979591837
73,2016-03-14,0.7105263157894737
74,2016-03-15,0.6216216216216216
75,2016-03-16,0.6842105263157895
76,2016-03-17,0.64
77,2016-03-18,0.7111111111111111
78,2016-03-19,0.7068965517241379
79,2016-03-20,0.7142857142857143
80,2016-03-21,0.7209302325581395
81,2016-03-22,0.6
82,2016-03-23,0.6486486486486487
83,2016-03-24,0.7435897435897436
84,2016-03-25,0.8484848484848485
85,2016-03-26,0.7
86,2016-03-27,0.6190476190476191
87,2016-03-28,0.6206896551724138
88,2016-03-29,0.6052631578947368
89,2016-03-30,0.7272727272727273
90,2016-03-31,0.8
91,2016-04-01,0.3684210526315789
92,2016-04-02,0.7058823529411765
93,2016-04-03,0.5757575757575758
94,2016-04-04,0.7073170731707317
95,2016-04-05,0.5853658536585366
96,2016-04-06,0.5111111111111111
97,2016-04-07,0.6388888888888888
98,2016-04-08,0.6341463414634146
99,2016-04-09,0.8028169014084507
100,2016-04-10,0.6666666666666666
101,2016-04-11,0.631578947368421
102,2016-04-12,0.56
103,2016-04-13,0.6129032258064516
104,2016-04-14,0.5517241379310345
105,2016-04-15,0.6333333333333333
106,2016-04-16,0.7241379310344828
107,2016-04-17,0.71875
108,2016-04-18,0.6410256410256411
109,2016-04-19,0.5185185185185185
110,2016-04-20,0.725
111,2016-04-21,0.7435897435897436
112,2016-04-22,0.7115384615384616
113,2016-04-23,0.6097560975609756
114,2016-04-24,0.5555555555555556
115,2016-04-25,0.6595744680851063
116,2016-04-26,0.5789473684210527
117,2016-04-27,0.6444444444444445
118,2016-04-28,0.7192982456140351
119,2016-04-29,0.6451612903225806
120,2016-04-30,0.7
121,2016-05-01,0.6666666666666666
122,2016-05-02,0.7857142857142857
123,2016-05-03,0.7272727272727273
124,2016-05-04,0.625
125,2016-05-05,0.6176470588235294
126,2016-05-06,0.6363636363636364
127,2016-05-07,0.6976744186046512
128,2016-05-08,0.7575757575757576
129,2016-05-09,0.56
130,2016-05-10,0.7297297297297297
131,2016-05-11,0.7906976744186046
132,2016-05-12,0.6153846153846154
133,2016-05-13,0.6086956521739131
134,2016-05-14,0.8043478260869565
135,2016-05-15,0.723404255319149
136,2016-05-16,0.6451612903225806
137,2016-05-17,0.8108108108108109
138,2016-05-18,0.6956521739130435
139,2016-05-19,0.696969696969697
140,2016-05-20,0.7777777777777778
141,2016-05-21,0.8035714285714286
142,2016-05-22,0.6875
143,2016-05-23,0.62
144,2016-05-24,0.7241379310344828
145,2016-05-25,0.6190476190476191
146,2016-05-26,0.5454545454545454
147,2016-05-27,0.6486486486486487
148,2016-05-28,0.7358490566037735
149,2016-05-29,0.7924528301886793
150,2016-05-30,0.4423076923076923
151,2016-05-31,0.6176470588235294
152,2016-06-01,0.8076923076923077
153,2016-06-02,0.6666666666666666
154,2016-06-03,0.6923076923076923
155,2016-06-04,0.7213114754098361
156,2016-06-05,0.75
157,2016-06-06,0.4482758620689655
158,2016-06-07,0.7
159,2016-06-08,0.5
160,2016-06-09,0.7586206896551724
161,2016-06-10,0.6451612903225806
