,Place_id,Name,Business_Status,Lat,Lon
174,ChIJo7oYX2731WsRcjGs-FjawP4,St John Ambulance,OPERATIONAL,-19.2601727,146.726364
175,ChIJ2d-NFBGzf2kRmnBJwlIxyE0,Ingham Ambulance Station,OPERATIONAL,-18.6505981,146.1739402
176,ChIJsTGIJSxSfmkRec2I1JcjDpU,Halifax Ambulance Station,OPERATIONAL,-18.5807984,146.2849936
177,ChIJoVwiubRpfmkRTU1cpgTDEHc,Palm Island Ambulance Station,OPERATIONAL,-18.721,146.588485
178,ChIJx5pBfnc5f2kRSzvNokT0S6Q,Tully Ambulance Station,OPERATIONAL,-17.9280344,145.9246159
179,ChIJpcn3VYwPf2kR5gsh8U_Z39A,Cardwell Ambulance Station,OPERATIONAL,-18.2557063,146.0169334
180,ChIJ2U1DhUIvf2kRpK37JKnd700,Mission Beach Ambulance Station,OPERATIONAL,-17.9048163,146.0925628
181,ChIJm0n8WJB7HmoRNgvOe95H-Ws,Doomadgee Ambulance Station,OPERATIONAL,-17.9393244,138.8279768
182,ChIJ7eRVhcYVimkRhGCo8KsgOHI,Normanton Ambulance Station,OPERATIONAL,-17.6729329,141.0795199
183,ChIJC7LMXxOveGkRwRhcKkl_6ao,Milla Milla Ambulance Station,OPERATIONAL,-17.5144884,145.6080847
184,ChIJq920iTHbeGkRk3R-as7rfss,Innisfail Ambulance Station,OPERATIONAL,-17.5219205,146.0306891
185,ChIJeQ5DNzJbimkR1jhNZrg2nCI,Karumba Ambulance Station,OPERATIONAL,-17.4848694,140.8414729
186,ChIJj99fpuCMgWkRZdAc3uHd_Wc,Mount Garnet Ambulance Station,OPERATIONAL,-17.6769997,145.1152549
187,ChIJj3DoPnIAgmkR9GzmsO5oM5s,Ravenshoe Ambulance Station,CLOSED_PERMANENTLY,-17.607435,145.4821211
188,ChIJCXqvxzuieGkR_nrJomyG7fY,Malanda Ambulance Station,OPERATIONAL,-17.3537259,145.5955625
189,ChIJh-GKC8R1gmkRjIJ0wLSc9Gw,Atherton Ambulance station,OPERATIONAL,-17.2667469,145.4840268
190,ChIJgwQXQydCgmkRkhX9qmmQ5Jc,Dimbulah Ambulance Station,OPERATIONAL,-17.1486621,145.1088425
191,ChIJdVpp9mp-gmkRr_G63ZbYTiY,Mareeba Ambulance Station,OPERATIONAL,-16.988613,145.423214
192,ChIJc8FtQbyLeGkRvvVxOm2S5z8,Gordonvale Ambulance Station,OPERATIONAL,-17.0876553,145.7858701
193,ChIJbawswhFieGkRNVkMIF60YZA,Edmonton Ambulance Station,OPERATIONAL,-17.015757,145.7427321
194,ChIJwzGkJS9keGkR7bsdiOYoupY,QAS Cairns OpCen,OPERATIONAL,-16.9138961,145.7514706
195,ChIJ8-JdxM7reGkRmLmlKLC_8vE,Babinda Ambulance Station,OPERATIONAL,-17.3435395,145.9198259
196,ChIJ_4eaR5hE9GkRPinAMF2N_bA,Mornington Island Ambulance Station,OPERATIONAL,-16.6645758,139.1810617
197,ChIJqdNUAodweGkRdxaE17up6Hg,Kuranda Ambulance Station,OPERATIONAL,-16.8331134,145.6219567
198,ChIJvfABknFdeGkROMmczhM0VU0,Yarrabah Ambulance Station,OPERATIONAL,-16.931225,145.877524
199,ChIJAVcJkGOvgmkRhyAwmNc5Qo8,Mossman Ambulance station,OPERATIONAL,-16.4627185,145.3731406
200,ChIJLc2RBcSngmkRzFAc21eJYXE,Port Douglas Ambulance Station,OPERATIONAL,-16.4986948,145.4633119
201,ChIJqc9BE7ibnWkRtvXj-0r0vTg,Queensland Ambulance Service Field Office,OPERATIONAL,-15.4768769,145.2431865
202,ChIJ_Tv3JZdNmGkRvxAt5AnDuzc,Coen Ambulance Station,OPERATIONAL,-13.945096,143.2012024
203,ChIJK_EvuNivvWkRN24rAdIBpMI,Weipa Ambulance Station,OPERATIONAL,-12.6410451,141.8666067
204,ChIJBXkUmFtvsGkRhlaLUuKoloc,Thursday Island Ambulance Station,OPERATIONAL,-10.5823287,142.223377
205,ChIJ_ckczco2AmkRIp7mZvUL98E,St John Ambulance PNG,OPERATIONAL,-9.471948399999999,147.1911566
