Date,Over_rate
25/8/16,0.714285714
26/8/16,0.666666667
27/8/16,0.566037736
28/8/16,0.659090909
29/8/16,0.571428571
30/8/16,0.769230769
31/8/16,0.681818182
1/9/16,0.710526316
2/9/16,0.558139535
3/9/16,0.65
4/9/16,0.676470588
5/9/16,0.75
6/9/16,0.543478261
7/9/16,0.692307692
8/9/16,0.666666667
9/9/16,0.566666667
10/9/16,0.804878049
11/9/16,0.666666667
12/9/16,0.636363636
13/9/16,0.625
14/9/16,0.605263158
15/9/16,0.555555556
16/9/16,0.75
17/9/16,0.833333333
18/9/16,0.764705882
19/9/16,0.454545455
20/9/16,0.717948718
21/9/16,0.533333333
22/9/16,0.787878788
23/9/16,0.666666667
24/9/16,0.732142857
25/9/16,0.696969697
26/9/16,0.6
27/9/16,0.555555556
28/9/16,0.575
29/9/16,0.684210526
30/9/16,0.672727273
1/10/16,0.85
2/10/16,0.790697674
3/10/16,0.710526316
4/10/16,0.68
5/10/16,0.578947368
6/10/16,0.64516129
7/10/16,0.770833333
8/10/16,0.820512821
9/10/16,0.888888889
10/10/16,0.673469388
11/10/16,0.545454545
12/10/16,0.724137931
13/10/16,0.702702703
14/10/16,0.756097561
15/10/16,0.78
16/10/16,0.703703704
17/10/16,0.536585366
18/10/16,0.447368421
19/10/16,0.743589744
20/10/16,0.697674419
21/10/16,0.56097561
22/10/16,0.684210526
23/10/16,0.729166667
24/10/16,0.696969697
25/10/16,0.533333333
26/10/16,0.526315789
27/10/16,0.791666667
28/10/16,0.728571429
29/10/16,0.723076923
30/10/16,0.71875
31/10/16,0.790697674
1/11/16,0.675675676
2/11/16,0.842105263
3/11/16,0.609756098
4/11/16,0.70212766
5/11/16,0.6875
6/11/16,0.815789474
7/11/16,0.511111111
8/11/16,0.692307692
9/11/16,0.53125
10/11/16,0.75
11/11/16,0.791666667
12/11/16,0.733333333
13/11/16,0.64516129
14/11/16,0.548387097
15/11/16,0.641025641
16/11/16,0.388888889
17/11/16,0.794871795
18/11/16,0.674418605
19/11/16,0.684210526
20/11/16,0.827586207
21/11/16,0.777777778
22/11/16,0.580645161
23/11/16,0.58974359
24/11/16,0.64516129
25/11/16,0.470588235
26/11/16,0.666666667
27/11/16,0.568181818
28/11/16,0.794117647
29/11/16,0.688888889
30/11/16,0.583333333
1/12/16,0.727272727
2/12/16,0.518518519
3/12/16,0.653846154
4/12/16,0.844444444
5/12/16,0.733333333
6/12/16,0.647058824
7/12/16,0.657894737
8/12/16,0.720930233
9/12/16,0.607142857
10/12/16,0.763157895
11/12/16,0.756097561
12/12/16,0.651162791
13/12/16,0.64516129
14/12/16,0.470588235
15/12/16,0.705882353
16/12/16,0.68
17/12/16,0.76744186
18/12/16,0.754716981
19/12/16,0.607843137
20/12/16,0.666666667
21/12/16,0.515151515
22/12/16,0.731707317
23/12/16,0.745098039
24/12/16,0.7
25/12/16,0.666666667
26/12/16,0.666666667
27/12/16,0.8
28/12/16,0.709677419
29/12/16,0.818181818
30/12/16,0.606060606
31/12/16,0.769230769
